*Medium	*N	*Notes	*Original Ref	*Phase	*Ref Loc	*Species	*Strain	*Taxon	*Temp	10,11Cyc-C17:0	10Me-C15:0	10Me-C16:0	10Me-C17:0	10Me-C18:0	10Me-C19:0	10OH-C16:0	10OH-C18:0	10Oxo-C18:0	10Oxo-C19:0	11,12Cyc-C17:0	11,12Cyc-C19:0	11Cyc-C19:0	11Me-C12:0	11Me-C18:1ω7	12Me-C13:0	13Me-C14:0	14Me-C15:0	15Me-C16:0	17OH-C18:0	24OH-C24:0	25OH-C26:0	27OH-C28:0	29OH-C30:0	2OH-13Me-C14:0	2OH-15Me-C16:0	2OH-A-C15:0	2OH-A-C17:0	2OH-C10:0	2OH-C11:0	2OH-C12:0	2OH-C13:0	2OH-C14:0	2OH-C15:0	2OH-C16:0	2OH-C17:0	2OH-C18:0	2OH-I-C11:0	2OH-I-C14:0	2OH-I-C15:0	2OH-I-C17:0	3OH-13Me-C14:0	3OH-15Me-C16:0	3OH-A-C17:0	3OH-C10:0	3OH-C12:0	3OH-C14:0	3OH-C15:0	3OH-C16:0	3OH-C17:0	3OH-C18:0	3OH-I-C11:0	3OH-I-C12:0	3OH-I-C13:0	3OH-I-C14:0	3OH-I-C15:0	3OH-I-C16:0	3OH-I-C17:0	4OH-C11:0	6OH-C13:0	6OH-C18:0	9,10Cyc-C17:0	A-C11:0	A-C12:0	A-C13:0	A-C14:0	A-C15:0	A-C15:1ω10	A-C15:1ω7	A-C15:1ω8	A-C16:0	A-C17:0	A-C17:1ω13	A-C17:1ω6	A-C17:1ω7	A-C17:1ω8	A-C18:0	A-C19:0	A-C19:1ω7	A-C19:1ω8	C10:0	C11:0	C12:0	C13:0	C14:0	C14:1ω5	C14:1ω7	C14:1ω9	C15:0	C15:1ω10	C15:1ω11	C15:1ω4	C15:1ω5	C15:1ω6	C15:1ω8	C15:1ω9	C16:0	C16:1ω10	C16:1ω11	C16:1ω12	C16:1ω13	C16:1ω5	C16:1ω6	C16:1ω7	C16:1ω8	C16:1ω9	C16:2ω4	C16:2ω5	C16:2ω6	C16:2ω7	C16:3ω3	C16:3ω4	C16:3ω6	C16:4ω1	C16:4ω3	C17:0	C17:1ω11	C17:1ω12	C17:1ω13	C17:1ω6	C17:1ω7	C17:1ω8	C17:1ω9	C17:3ω2	C18:0	C18:1ω10	C18:1ω11	C18:1ω13	C18:1ω14	C18:1ω5	C18:1ω6	C18:1ω7	C18:1ω8	C18:1ω9	C18:2ω6	C18:2ω7	C18:2ω8	C18:2ω9	C18:3ω2	C18:3ω3	C18:3ω4	C18:3ω6	C18:3ω9	C18:4ω1	C18:4ω3	C18:5ω3	C19:0	C19:1ω10	C19:1ω7	C19:1ω8	C19:1ω9	C20:0	C20:1ω10	C20:1ω11	C20:1ω7	C20:1ω9	C20:2ω6	C20:3ω3	C20:3ω5	C20:3ω6	C20:4ω3	C20:4ω5	C20:4ω6	C20:5ω3	C20:6ω3	C21:0	C22:0	C22:1ω11	C22:1ω13	C22:1ω9	C22:4ω6	C22:5ω3	C22:5ω6	C22:6ω3	C23:0	C24:0	C24:1ω9	C25:0	C26:0	C28:0	C30:0	C6:0	C8:0	C9:0	I-C10:0	I-C11:0	I-C12:0	I-C13:0	I-C14:0	I-C14:1ω9	I-C15:0	I-C15:1ω10	I-C15:1ω7	I-C15:1ω8	I-C16:0	I-C16:1ω11	I-C16:1ω6	I-C16:1ω7	I-C16:1ω9	I-C17:0	I-C17:1ω10	I-C17:1ω12	I-C17:1ω13	I-C17:1ω5	I-C17:1ω7	I-C17:1ω8	I-C17:1ω9	I-C18:0	I-C18:1ω6	I-C18:1ω7	I-C18:1ω8	I-C19:0	I-C19:1ω7	I-C19:1ω8	I-C20:0	I-C20:1ω6	Neo-C18:0	Other
					Table 1	Escherichia coli				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.8	0.0	0.0	0.0	0.0	0.0	0.0	6.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	5.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f2				End Log	Table 4	Chaetoceros calcitrans	CS-178		20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	17.5	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.7	0.0	0.0	0.0	0.7	0.1	0.0	30.0	0.0	0.0	1.6	0.0	0.0	3.5	0.0	8.0	0.0	0.3	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	2.8	0.8	0.0	0.0	0.8	0.0	0.03333333333333333	0.0	0.4	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	5.7	11.1	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3
f2				End Log	Table 4	Chaetoceros gracilis	CS-176		20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	8.8	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.3	0.0	0.0	0.0	1.2	0.1	0.0	33.4	0.0	0.0	1.7	0.0	0.0	2.9	0.0	2.3	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.0	3.6	0.5	0.0	0.0	2.0	0.0	0.0	0.0	0.8	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	4.5	4.6	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5
f2				End Log	Table 4	Chaetoceros gracilis	CS-176		20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	11.6	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.8	0.0	0.0	0.0	1.6	0.2	0.0	26.8	0.0	0.0	0.7	0.0	0.0	2.4	0.0	2.2	0.0	0.03333333333333333	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1	0.0	0.0	0.0	0.0	0.0	0.0	3.9	0.0	6.0	0.7	0.0	0.0	4.2	0.0	0.0	0.0	1.1	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	6.2	5.7	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2
f2				End Log	Table 4	Skeletonema costatum	CS-181		20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	20.1	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.5	0.0	0.0	0.0	1.3	0.6	0.0	28.6	0.0	0.0	3.5	0.0	0.0	3.3	0.0	3.7	0.0	2.6	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	1.4	2.2	0.0	0.0	0.0	0.0	0.3	0.0	0.3	0.0	0.0	2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	0.0	6.0	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7
G2				End Log	Table 4	Thalassiosira pseudonana	CS-173		20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	14.3	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.2	0.0	0.0	0.0	0.4	0.3	0.0	18.0	0.0	0.0	4.5	0.0	0.0	2.7	0.0	12.7	0.0	2.3	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.5	0.4	0.0	0.0	0.03333333333333333	0.0	0.1	0.0	0.2	0.0	0.0	5.3	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.3	0.0	0.3	19.3	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	3.9	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3
f2				End Log	Table 4	Isochrysis	CS-177		20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	16.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.5	0.0	0.0	0.0	0.0	0.0	0.0	4.2	0.0	0.3	0.7	0.0	0.0	0.5	0.0	1.4	0.0	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	20.1	2.5	0.0	0.0	0.0	0.0	3.6	0.0	2.4	0.0	0.0	17.4	2.5	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	1.8	8.3	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5
f2				End Log	Table 4	Pavlova lutheri	CS-182		20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	11.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.3	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	16.8	0.0	0.0	0.2	0.0	0.0	0.2	0.0	0.4	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.3	0.0	0.0	0.0	0.0	0.0	1.4	0.0	1.7	1.5	0.0	0.0	0.4	0.0	1.8	0.0	0.4	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	19.7	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	2.0	9.4	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8
f2				End Log	Table 5	Dunaliella tertiolecta	CS-175		20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	0.2	0.0	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.7	0.0	0.0	0.0	2.7	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.7	0.0	4.2	0.0	0.0	0.0	21.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	2.0	4.8	0.0	0.0	0.0	0.0	43.5	0.0	2.7	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5
f2				End Log	Table 5	Nannochloris atomus	CS-183		20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	0.6	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.1	0.5	0.0	0.0	8.9	0.0	0.0	0.6	0.0	1.3	0.0	0.0	4.2	0.0	14.4	0.0	0.9	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	4.9	10.3	0.0	0.0	0.0	0.0	21.7	0.0	0.03333333333333333	0.0	0.0	2.7	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.5	3.2	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3
